A,B
1.6749434,2.9288144
1.664594,2.981071
1.6686401,2.9367647
1.687454,2.947488
1.6659755,2.9770265
1.676038,2.955903
1.6615918,2.9790595
1.684464,2.932431
1.659048,2.9541771
1.6801258,3.0117645
1.6681286,2.9416542
1.6730083,2.934223
1.6711684,2.9474208
1.6783262,2.9358606
1.6699423,2.9489257
1.6609417,2.970983
1.6732122,2.8929574
1.6781822,2.9962788
1.6667945,2.943293
1.6814777,2.952634
1.6776574,2.9271388
1.6745708,2.9691274
1.6749548,2.9701438
1.6820359,2.9544861
1.674599,2.9799058
1.6633728,2.9495862
1.6724641,2.9685915
1.6731541,2.9373477
1.6761206,2.967807
1.677504,2.9547508
1.6819768,2.9828255
1.6598897,2.9580977
1.6673728,2.928134
1.6772577,3.0048475
1.6648337,2.9462287
1.6781644,2.957786
1.6681715,2.931429
1.6552502,2.8991613
1.6755186,2.9444833
1.6741694,2.9299316
1.691309,2.9880786
1.662246,2.9528224
1.6804289,2.9543233
1.6692978,2.92011
1.6754882,2.930286
1.6666158,2.9239628
1.662979,2.9351573
1.6773357,2.9330418
1.6745825,2.9572833
1.6614153,2.9560165
1.6823231,2.960043
1.6602858,2.957184
1.6744906,2.9511652
1.6772772,2.9487386
1.6536716,2.8878026
1.6763773,2.942208
1.6701127,2.962396
1.6797054,3.0093572
1.6755067,2.985923
1.6639771,2.9487147
1.6838608,2.947537
1.6698251,2.9544642
1.667716,2.9078596
1.6716146,2.9695926
1.657209,2.9173737
1.6757298,2.952892
1.6890014,2.9861844
1.6758952,2.9632785
1.6825343,2.9915924
1.6724235,2.9805768
1.6568372,2.9604192
1.6646055,2.9192424
1.6636105,2.9462965
1.6642966,2.9832313
1.674002,2.9485178
1.6764905,2.9307377
1.6823542,2.988724
1.6650382,2.9279246
1.683515,2.9400494
1.6641475,2.9089825
1.676245,2.9740405
1.6874151,2.9815273
1.6677248,2.947091
1.6782237,2.9799485
1.6789924,2.941338
1.6702082,2.9477723
1.6806569,2.9839926
1.6712681,2.9753242
1.6738154,2.9943662
1.6766413,2.9737453
1.6532342,2.9390242
1.6672516,2.966673
1.6691991,2.9185367
1.6778009,2.9903817
1.6724709,2.9611998
1.6729883,2.9794512
1.683324,2.9708595
1.6816679,2.9206507
1.6762859,2.9530346
1.6886637,2.9639225
1.6767776,2.9515996
1.6671153,2.9326162
1.6840104,2.9604478
1.6826966,2.9669044
1.6658899,2.9595518
1.6645732,2.9861336
1.6684328,2.9392068
1.6629235,2.967981
1.6687632,2.991382
1.6744378,2.9516625
1.6699463,2.9201057
1.6656522,2.9303913
1.6825455,2.9548917
1.6667528,2.8789227
1.6760218,2.9743605
1.6800021,2.975946
1.6734236,2.914708
1.665243,2.9376838
1.6636258,2.9507883
1.6710176,2.9744165
1.6682221,2.9388936
1.6652418,2.9354248
1.6758885,2.9448152
1.6807106,2.9491963
1.6613832,2.9451644
1.6617202,2.900309
1.663877,2.941139
1.671432,2.9658988
1.6708132,2.952168
1.6685416,2.9672353
1.676714,2.948293
1.662858,2.9435632
1.6671367,2.9539788
1.6747932,2.9464283
1.6813037,2.9878912
1.6701896,2.9368691
1.6730431,2.978324
1.6666325,2.9581258
1.6682891,2.9763281
1.6609426,2.8769374
1.6687254,2.9524307
1.6636022,2.927864
1.6735617,2.9318898
1.6732059,2.9781501
1.652518,2.9706626
1.6850985,2.9576266
1.680342,2.9455981
1.6785314,2.9697301
1.6745952,2.997891
1.6678768,2.9564753
1.6642983,2.95587
1.6753833,2.943632
1.6616461,2.9469285
1.6583084,2.9209366
1.6673715,2.9819996
1.6758065,2.9439383
1.6779246,2.961906
1.6832191,2.9960961
1.6741294,2.9499395
1.6711622,2.9929643
1.6587421,2.9521937
1.6738151,2.956286
1.6717947,2.9302905
1.6707888,2.9512386
1.6632899,2.9446647
1.6690073,2.9426138
1.6820225,2.9474976
1.6740959,2.9428163
1.6675228,2.9434147
1.6636184,2.9457088
1.6732727,3.0091312
1.6651089,2.9367487
1.6640432,2.947794
1.6881111,3.006735
1.6745023,2.9312332
1.6691755,2.9496913
1.6603775,2.9418344
1.6688875,2.946332
1.6682882,2.9600716
1.6774569,2.9537575
1.6726465,2.902747
1.6780533,2.9789925
1.6690363,2.974569
1.6745085,2.9626963
1.6805623,2.9563777
1.6628484,2.8976977
1.6549326,2.948869
1.6622506,2.9321997
1.6848543,2.9678607
1.672845,2.9329903
1.6778079,2.9872577
1.6851553,2.978251
1.6711174,2.9234033
1.6742713,2.95056
1.6742104,2.9737792
1.6789128,2.9656785
1.6777234,2.9904392
1.6744052,3.0024815
1.6714797,2.9213443
1.6763111,2.922272
1.6727647,2.962109
1.6793585,2.9567788
1.6660502,2.9448032
1.6843138,2.9879982
1.668916,2.9611201
1.6883217,2.9987075
1.6787053,2.954491
1.6671164,2.8969204
1.6771752,2.9904957
1.6591476,2.9494836
1.666725,2.9564507
1.6622876,2.933998
1.6671766,2.9510636
1.6579056,2.9233727
1.6758627,2.9261487
1.6763489,2.9524088
1.6723828,2.948819
1.6797445,2.9399467
1.6637928,2.943115
1.6792351,3.0086434
1.6740478,2.955118
1.665972,2.9478385
1.6818726,2.9979615
1.6689925,2.9801896
1.6612264,2.9115043
1.6717405,2.918227
1.6797588,2.9746718
1.6773744,2.916214
1.6633785,2.951655
1.6671382,2.9672122
1.6763428,2.949222
1.6730455,2.9714293
1.6753873,2.917917
1.6775304,2.9693058
1.6794342,2.9435143
1.669321,2.9783585
1.6751611,2.8966835
1.6831111,2.9408152
1.6671301,2.9635022
1.6651387,2.9222782
1.679173,2.947999
1.675534,2.9306388
1.674785,2.9651177
1.6742795,2.9573622
1.6603309,2.957297
1.6777437,2.9508734
1.6710565,2.926677
1.6688439,2.9587524
1.6743114,2.9707913
1.6619923,2.9592328
1.6687666,2.9901557
1.6867334,2.972463
1.6791161,2.9370322
1.6671885,2.912992
1.6807691,2.9626875
1.6703975,2.9772568
1.6739833,2.9621468
1.6728479,2.9452686
1.6776545,2.9498024
1.6569442,2.90931
1.6724792,2.950009
1.6596245,2.9670794
1.6847436,2.9537084
1.6786351,2.9463847
1.6879964,2.9703503
1.6713821,2.9832077
1.6786077,2.9646683
1.6707586,2.9592502
1.6806575,2.954194
1.6647339,2.9291914
1.6712046,2.960232
1.6693364,2.9599023
1.6766456,2.9351857
1.6598707,2.9304152
1.665272,2.9222672
1.676294,2.9221585
1.6718956,2.956592
1.6599922,2.921353
1.6754552,2.9159484
1.6640834,2.9692845
1.6838057,2.948164
1.6788683,2.9737995
1.678447,2.9858675
1.683257,2.960387
1.6761578,2.98311
1.6650336,2.9120233
1.6564184,2.91069
1.6814575,2.9267018
1.6696221,2.9323976
1.6831158,2.9709992
1.6699259,2.966889
1.6774904,2.9434245
1.6824859,2.956353
1.6603972,2.920831
1.6682512,2.9580913
1.6692934,2.917021
1.6761903,2.9665365
1.6642348,2.949379
1.6665797,2.9335885
1.6663123,2.9173985
1.6750293,2.979765
1.6713817,2.9768476
1.6714474,2.9713762
1.6715384,2.925629
1.6831701,2.9356217
1.662222,2.9041936
1.6724616,2.9903774
1.6819732,2.9704647
1.6753142,2.960753
1.6739006,2.9786987
1.6598893,2.9238648
1.6800609,2.9639695
1.6637367,2.9594429
1.6839637,2.9724343
1.6778929,2.9700124
1.6824887,2.9987888
1.6710477,2.9756942
1.6711428,2.9807827
1.6788676,2.9074857
1.6771827,2.9591253
1.6783143,2.9465833
1.6783086,2.932717
1.6704915,2.961428
1.6600693,2.9243877
1.6790998,2.9447062
1.6717045,2.931843
1.6629488,2.9565175
1.6665825,2.951937
1.6575027,2.947675
1.6759229,2.9359024
1.6835963,2.9632235
1.6828358,2.9737535
1.6613353,2.944794
1.6650146,2.9342563
1.6825086,2.9485435
1.6775616,2.975359
1.6643236,2.9413812
1.6731371,2.949856
1.6757877,2.978675
1.6714002,2.9436817
1.6724876,2.9425018
