dq,naive
0.68038285,0.35360855
1.1149752,0.35399327
0.5547874,0.33646557
0.75049955,0.3574373
1.1211541,0.32858115
1.1299605,0.3029655
1.5528377,0.33278787
0.3337006,0.2998268
1.2101048,0.31904107
0.6050707,0.33617762
0.3938314,0.34404638
0.3366032,0.33118102
0.67734325,0.32900023
0.3710697,0.32762963
1.1570313,0.35319963
1.3808975,0.32302436
0.6299615,0.33955422
0.6850692,0.33819917
0.64710236,0.34343132
0.38688105,0.3589738
1.263333,0.3589588
1.1863718,0.3395948
0.91503614,0.29948655
0.9787666,0.32976514
-0.3218972,0.35015535
0.77390015,0.34087926
1.1008606,0.37130174
1.6257324,0.35449287
0.46282807,0.35010937
0.87042826,0.3440875
1.2090153,0.33684745
1.1593533,0.31713912
1.0304222,0.3345221
0.98625165,0.31305313
1.0624423,0.31093812
0.3473725,0.35555568
0.038467094,0.35245788
0.23302563,0.32988632
0.83448535,0.33426464
1.2075186,0.3058238
0.5173181,0.3740402
0.9154666,0.3159773
0.63496304,0.32772237
0.48982707,0.34330213
0.73828286,0.37656382
1.4133343,0.31061545
0.8243855,0.3247255
-0.22521201,0.3622939
1.1521672,0.34377682
1.2788149,0.30214047
0.41767406,0.36468455
0.8802932,0.3104337
0.6570967,0.29292363
1.0412339,0.32139757
1.0412745,0.3944378
0.74601823,0.3515853
0.39939547,0.3156445
1.3561913,0.29335925
1.2430806,0.3274773
1.4114158,0.2976633
0.922683,0.32022336
0.71288437,0.3347934
0.87777567,0.32149094
1.2962213,0.31924444
0.34232822,0.3520142
0.70561415,0.32762197
0.7325823,0.37571603
0.5674875,0.34629455
1.1510826,0.32414258
0.9101628,0.3489208
0.61369693,0.32043493
0.42279536,0.36600307
1.1038922,0.34916773
1.2053221,0.362288
1.1186615,0.33992237
0.79174376,0.33797613
1.0590125,0.28164858
0.22970292,0.3675297
1.153277,0.29052258
1.1653502,0.32129797
0.93604124,0.29208082
0.5798637,0.35110137
0.40186128,0.33435243
1.1275158,0.3536036
0.82511383,0.3413694
1.4588352,0.34112862
1.0914084,0.29486105
0.7468784,0.33743355
1.0432614,0.31297213
0.94189405,0.31226775
0.82349026,0.32050863
0.8961102,0.35188213
0.8512053,0.37082106
1.0491458,0.3356735
1.011751,0.35332108
1.0056036,0.3335469
0.83720964,0.37444037
1.2467467,0.31038862
0.78160596,0.29854813
0.32704315,0.35297635
0.74970305,0.35712004
0.14250064,0.35040188
1.2072893,0.3037384
0.6296886,0.3203934
0.37561682,0.34836623
1.0562961,0.31171426
1.3647282,0.29095927
0.98510987,0.34469292
1.2417806,0.3014968
